updnLine,dow,hh,mm,congestionCar1,congestionCar2,congestionCar3,congestionCar4,congestionCar5,congestionCar6,congestionCar7,congestionCar8,congestionCar9,congestionCar10
0,MON,18,00,0,0,0,0,0,0,0,0,0,0
0,MON,18,10,0,0,0,0,0,0,0,0,0,0
0,MON,18,20,0,0,0,0,0,0,0,0,0,0
0,MON,18,30,0,0,0,0,0,0,0,0,0,0
0,MON,18,40,0,0,0,0,0,0,0,0,0,0
0,MON,18,50,0,0,0,0,0,0,0,0,0,0
0,MON,18,00,0,0,0,0,0,0,0,0,0,0
0,MON,18,10,0,0,0,0,0,0,0,0,0,0
0,MON,18,20,0,0,0,0,0,0,0,0,0,0
0,MON,18,30,0,0,0,0,0,0,0,0,0,0
0,MON,18,40,0,0,0,0,0,0,0,0,0,0
0,MON,18,50,0,0,0,0,0,0,0,0,0,0
1,MON,18,00,0,0,0,0,0,0,0,0,0,0
1,MON,18,10,0,0,0,0,0,0,0,0,0,0
1,MON,18,20,0,0,0,0,0,0,0,0,0,0
1,MON,18,30,0,0,0,0,0,0,0,0,0,0
1,MON,18,40,0,0,0,0,0,0,0,0,0,0
1,MON,18,50,0,0,0,0,0,0,0,0,0,0
0,MON,18,00,0,0,0,0,0,0,0,0,0,0
0,MON,18,10,0,0,0,0,0,0,0,0,0,0
0,MON,18,20,0,0,0,0,0,0,0,0,0,0
0,MON,18,30,0,0,0,0,0,0,0,0,0,0
0,MON,18,40,0,0,0,0,0,0,0,0,0,0
0,MON,18,50,0,0,0,0,0,0,0,0,0,0
1,MON,18,00,32,38,43,38,32,35,43,38,37,35
1,MON,18,10,50,58,60,64,55,63,61,59,62,58
1,MON,18,20,54,57,60,64,61,61,70,66,65,74
1,MON,18,30,55,62,66,82,69,62,81,84,68,81
1,MON,18,40,61,67,68,70,65,68,81,81,67,63
1,MON,18,50,44,46,50,54,50,54,60,61,40,52
0,MON,18,00,44,60,50,51,50,59,53,52,38,32
0,MON,18,10,67,63,68,61,63,65,70,69,45,49
0,MON,18,20,78,91,93,89,101,105,111,88,78,76
0,MON,18,30,72,84,90,90,74,79,94,84,67,67
0,MON,18,40,47,52,59,57,52,57,65,64,45,51
0,MON,18,50,40,45,46,45,43,48,57,48,36,40
1,MON,18,00,33,39,44,39,33,36,44,39,38,36
1,MON,18,10,34,39,41,44,37,43,41,40,42,39
1,MON,18,20,39,42,44,47,45,45,51,48,47,54
1,MON,18,30,30,34,36,45,38,34,45,46,37,44
1,MON,18,40,42,46,46,48,44,46,55,55,46,43
1,MON,18,50,42,44,48,52,48,51,58,59,39,50
1,MON,18,00,0,0,0,0,0,0,0,0,0,0
1,MON,18,10,0,0,0,0,0,0,0,0,0,0
1,MON,18,20,0,0,0,0,0,0,0,0,0,0
1,MON,18,30,0,0,0,0,0,0,0,0,0,0
1,MON,18,40,0,0,0,0,0,0,0,0,0,0
1,MON,18,50,0,0,0,0,0,0,0,0,0,0
1,MON,18,00,0,0,0,0,0,0,0,0,0,0
1,MON,18,10,0,0,0,0,0,0,0,0,0,0
1,MON,18,20,0,0,0,0,0,0,0,0,0,0
1,MON,18,30,0,0,0,0,0,0,0,0,0,0
1,MON,18,40,0,0,0,0,0,0,0,0,0,0
1,MON,18,50,0,0,0,0,0,0,0,0,0,0
1,MON,18,00,0,0,0,0,0,0,0,0,0,0
1,MON,18,10,0,0,0,0,0,0,0,0,0,0
1,MON,18,20,0,0,0,0,0,0,0,0,0,0
1,MON,18,30,0,0,0,0,0,0,0,0,0,0
1,MON,18,40,19,20,21,21,20,21,25,25,20,19
1,MON,18,50,36,38,41,44,41,44,49,51,33,42
1,MON,18,00,0,0,0,0,0,0,0,0,0,0
1,MON,18,10,0,0,0,0,0,0,0,0,0,0
1,MON,18,20,0,0,0,0,0,0,0,0,0,0
1,MON,18,30,0,0,0,0,0,0,0,0,0,0
1,MON,18,40,0,0,0,0,0,0,0,0,0,0
1,MON,18,50,0,0,0,0,0,0,0,0,0,0
0,MON,18,00,0,0,0,0,0,0,0,0,0,0
0,MON,18,10,0,0,0,0,0,0,0,0,0,0
0,MON,18,20,0,0,0,0,0,0,0,0,0,0
0,MON,18,30,0,0,0,0,0,0,0,0,0,0
0,MON,18,40,0,0,0,0,0,0,0,0,0,0
0,MON,18,50,0,0,0,0,0,0,0,0,0,0
0,MON,18,00,44,60,50,51,50,59,53,52,38,32
0,MON,18,10,72,68,74,66,68,70,76,74,49,53
0,MON,18,20,77,89,91,87,99,103,108,86,76,74
0,MON,18,30,71,83,89,89,73,78,92,83,66,66
0,MON,18,40,45,50,56,54,49,54,62,60,42,49
0,MON,18,50,40,45,46,45,43,48,57,48,36,40
0,MON,18,00,0,0,0,0,0,0,0,0,0,0
0,MON,18,10,0,0,0,0,0,0,0,0,0,0
0,MON,18,20,0,0,0,0,0,0,0,0,0,0
0,MON,18,30,0,0,0,0,0,0,0,0,0,0
0,MON,18,40,0,0,0,0,0,0,0,0,0,0
0,MON,18,50,0,0,0,0,0,0,0,0,0,0
0,MON,18,00,0,0,0,0,0,0,0,0,0,0
0,MON,18,10,0,0,0,0,0,0,0,0,0,0
0,MON,18,20,0,0,0,0,0,0,0,0,0,0
0,MON,18,30,0,0,0,0,0,0,0,0,0,0
0,MON,18,40,0,0,0,0,0,0,0,0,0,0
0,MON,18,50,0,0,0,0,0,0,0,0,0,0
0,MON,18,00,53,72,60,61,60,72,64,63,46,39
0,MON,18,10,94,89,97,87,89,92,100,97,64,70
0,MON,18,20,100,116,118,114,129,134,141,112,99,97
0,MON,18,30,104,122,130,131,107,115,136,122,97,98
0,MON,18,40,50,55,62,60,55,60,69,67,47,54
0,MON,18,50,0,0,0,0,0,0,0,0,0,0
